"","site","Lab.ID","c14age","c14std","culture","lat","lon","Material.dated"
"70","Grassridge","UCI-209044",6100,15,"Wilton",-31.567,26.85,"charcoal"
"71","Grassridge","Pta-2970",6090,80,"",-31.567,26.85,""
"72","Grassridge","UCI-209043",6085,15,"Wilton",-31.567,26.85,"charcoal"
"73","Grassridge","UCI-209042",6040,15,"Wilton",-31.567,26.85,"charcoal"
"74","Grassridge","UCI-209041",6015,15,"Wilton",-31.567,26.85,"charcoal"
"75","Rose Cottage Cave","Pta-5934 ",5970,70,"Wilton",-29.25,27.5,"charcoal"
"76","Wonderwerk","Pta-2545",5970,70,"",-27.846,23.555,"charcoal"
"77","Sehonghong","Pta-6154",5950,70,"Wilton",-29.75,28.75,""
"78","Wonderwerk","Pta-2140",5930,50,"",-27.846,23.555,"eggshell"
"79","Wonderwerk","OxA-30642",5915,34,"",-27.846,23.555,"charcoal "
"80","Ballito Bay","Pta-5794",5900,110,"",-29.52,31.229,"bone"
"81","Banda Cave","Y-1714",5890,80,"",-26.2,31.033,"charcoal"
"82","Sehonghong","Wk-34787",5870,25,"",-29.75,28.75,"bone"
"83","Wonderwerk","Pta-3427",5800,70,"",-27.846,23.555,""
"84","Wonderwerk","OxA-30641",5771,34,"",-27.846,23.555,"charcoal "
"85","Nkupe Shelter","Pta-3460 ",5760,70,"Wilton",-28.147,29.937,"charcoal"
"86","Siphiso","TX-5621",5710,280,"Wilton",-26.3,31.967,"bone"
"87","Gehle Shelter","Pta-3585",5690,70,"Wilton",-29.13,29.906,""
"88","Maqonqo Shelter","Pta-6253 ",5680,70,"Wilton",-28.344,30.424,"charcoal"
"89","Wilde Als Put 2","Pta-4223",5630,170,"Oakhurst",-30.383,23.8,"eggshell"
"90","Wonderwerk","OxA-30640",5627,33,"",-27.846,23.555,"charcoal "
"91","Equus Cave","Pta-2791",5460,70,"",-27.617,24.633,"eggshell"
"92","Tshisiku Shelter","Pta-8652 ",5440,60,"Wilton",-22.233,29.148,""
"93","Kruger Cave","KRU-1",5400,160,"Oakhurst",-25.75,27.25,""
"94","Wonderwerk","OxA-30638",5340,33,"",-27.846,23.555,"charcoal "
"95","Jubilee Shelter","Wits-1450 ",5250,129,"Wilton",-25.683,27.983,"charcoal"
"96","Leliehoek","Wits-2010",5210,100,"Wilton",-29.117,27.25,"eggshell"
"97","Wonderwerk","Pta-2544",5180,70,"",-27.846,23.555,""
"98","Tloutle","OxA-4068",5080,80,"",-29.467,27.767,"bone"
"99","Wonderwerk","OxA-31897",5063,30,"",-27.846,23.555,"charcoal "
"100","Equus Cave","Pta-2789",5060,60,"",-27.617,24.633,"eggshell"
"101","Maqonqo Shelter","Pta-6255 ",4960,70,"Wilton",-28.344,30.424,"charcoal"
"102","Diamond Shelter","Pta-3246",4900,60,"Wilton",-28.492,28.948,"charcoal"
"103","Wonderwerk","Pta-2797",4890,70,"",-27.846,23.555,""
"104","Wonderwerk","OxA-30639",4887,33,"",-27.846,23.555,"charcoal "
"105","Leliehoek","Wits-2009 ",4860,100,"Wilton",-29.117,27.25,"eggshell"
"106","Lithakong","Pta-7075",4790,50,"",-29.457,28.101,"charcoal"
"107","Maqonqo Shelter","Pta-5898 ",4790,60,"Wilton",-28.344,30.424,"charcoal"
"108","Little Witkrans","Pta-2448",4710,65,"",-27.661,24.613,"charcoal"
"109","Maqonqo Shelter","Pta-6251 ",4640,70,"Wilton",-28.344,30.424,"charcoal"
"110","Springbokoog 1","Pta-4091",4630,60,"Wilton",-30.217,21.533,"eggshell"
"111","Nkupe Shelter","Pta-3276 ",4590,70,"Wilton",-28.147,29.937,"charcoal"
"112","Uniondale","Pta-4322",4520,60,"Wilton",-33.15,26.383,""
"113","Highlands Rock Shelter","Pta-536",4500,60,"Final LSA",-31.664,25.572,""
"114","Wonderwerk","OxA-30566",4459,30,"",-27.846,23.555,"charcoal "
"115","Springbokoog 20","Pta-4785",4440,60,"Wilton",-30.217,21.533,"eggshell"
"116","Wonderwerk","OxA-30567",4427,29,"",-27.846,23.555,"charcoal "
"117","Hope Hill Shelter","Wits-1565",4400,100,"",-26.35,28.833,""
"118","Liphofung","Pta-6109",4390,70,"",-28.753,28.496,"bone"
"119","Mgede Shelter","Pta-3505 ",4390,70,"Wilton",-28.17,29.687,"charcoal"
"120","Gehle Shelter","Pta-3245 ",4330,60,"Wilton",-29.13,29.906,""
"121","White Paintings Shelter","Beta-47865",4330,160,"",-18.75,21.75,"charcoal"
"122","Maqonqo Shelter","Pta-5900 ",4300,20,"Wilton",-28.344,30.424,"charcoal"
"123","Blydefontein","SMU-1852",4286,149,"Wilton",-31.133,25.05,"charcoal"
"124","Wonderwerk","Pta-2541",4240,60,"",-27.846,23.555,""
"125","Wonderwerk","OxA-30568",4207,30,"",-27.846,23.555,"charcoal "
"126","Amadzimba Cave","BM-57",4200,150,"Wilton",-20.75,28.75,"other"
"127","Mzinyashana Shelter","Pta-6535",4170,130,"Wilton",-28.317,30.467,""
"128","Maqonqo Shelter","Pta-6256 ",4140,60,"Wilton",-28.344,30.424,"charcoal"
"129","Zoovoorbij","Pta-2889",4140,75,"Wilton",-28.65,20.967,"charcoal"
"130","Klasies River Cave 5","GX-1378",4110,105,"",-34.13,24.43,"charcoal"
"131","Blydefontein","SMU-1901",4101,273,"Wilton",-31.133,25.05,"charcoal"
"132","Jubilee Shelter","Wits-1382 ",4090,80,"Wilton",-25.683,27.983,"charcoal"
"133","Maqonqo Shelter","Pta-6245 ",4080,25,"Wilton",-28.344,30.424,"charcoal"
"134","Blydefontein","SMU-1851",4066,55,"Wilton",-31.133,25.05,"charcoal"
"135","Chicaza","Wk-40713",4048,20,"",-12.89,35.25,"charcoal"
"136","Mzinyashana Shelter","Pta-6540 ",4010,60,"Wilton",-28.317,30.467,""
"137","Shongweni South","Pta-1061",4000,60,"",-29.85,30.717,"plant remains"
"138","Wonderwerk","Pta-2785",3990,60,"",-27.846,23.555,"charcoal"
"139","Castle Quarry","Y-1829",3970,120,"",-26.162,31.059,"charcoal"
"140","Bambata Cave","Pta-3111",3960,60,"",-21.51,28.75,"charcoal"
"141","Nkupe Shelter","Pta-3275 ",3950,70,"Wilton",-28.147,29.937,"charcoal"
"142","Zaayfontein","GX-1294",3935,180,"",-30.633,25.5,"charcoal"
"143","Klasies River Cave 5","Pta-3906",3900,50,"",-34.13,24.43,"charcoal"
"144","White Paintings Shelter","UCR-3366",3900,50,"",-18.75,21.75,"eggshell"
"145","Cave James","Wits-1383",3870,50,"",-25.683,27.983,""
"146","Shongweni South","Pta-823",3870,60,"Wilton",-29.85,30.717,"charcoal"
"147","White Paintings Shelter","UCR-3368",3860,50,"",-18.75,21.75,"eggshell"
"148","Sikhanyisweni","Pta-3764",3850,60,"",-28.467,30.383,"charcoal"
"149","Shongweni North","Pta-4135",3840,50,"",-29.85,30.717,"plant remains"
"150","Toteng 7","Beta-96239",3830,100,"",-20.38,22.95,"charcoal"
"151","KwaThwaleyakhe","Pta-5351",3810,60,"",-28.914,30.444,"charcoal"
"152","Hoffman's Robberg Cave","UW-205",3770,100,"Wilton",-34.105951,23.388,"marine shell"
"153","Rooikrans","Wits-2005",3740,280,"",-27.033,27.367,"bone"
"154","Jubilee Shelter","Pta-3563 ",3730,60,"Wilton",-25.683,27.983,"charcoal"
"155","Maqonqo Shelter","OZD-453",3720,100,"",-28.344,30.424,"other"
"156","White Paintings Shelter","Beta-33053",3700,130,"",-18.75,21.75,"charcoal"
"157","Powerhouse Cave","Pta-1508",3680,60,"",-27.617,24.633,""
"158","Blydefontein","SR-152",3650,120,"Wilton",-31.133,25.05,"charcoal"
"159","De Hoop","Pta-6785",3620,60,"Final LSA",-29.236,27.438,"charcoal"
"160","Emambeni Shelter","Y-1998",3590,120,"",-26.433,31.053,"bone"
"161","Highlands Rock Shelter","Pta-563",3570,50,"Final LSA",-31.664,25.572,""
"162","White Paintings Shelter","UCR-3370",3570,60,"",-18.75,21.75,"eggshell"
"163","Maqonqo Shelter","Pta-6244 ",3560,60,"Wilton",-28.344,30.424,"charcoal"
"164","White Paintings Shelter","AA-35233",3555,45,"",-18.75,21.75,"eggshell"
"165","Mauermanshoek","Pta-5930",3540,60,"Final LSA",-28.85,27.233,"charcoal"
"166","White Paintings Shelter","Beta-55732",3479,90,"",-18.75,21.75,"charcoal"
"167","Zoovoorbij","Pta-2893",3440,60,"Wilton",-28.65,20.967,"charcoal"
"168","Weltevreden near Plooysburg","Pta-681",3380,60,"",-29.033,24.167,"bone"
"169","Masitise","Pta-5454",3370,80,"",-30.4,27.635,"charcoal"
"170","Borchers Shelter","Pta-3110",3360,110,"",-30.687,30.377,"bone"
"171","Wonderwerk","Pta-2728",3360,60,"",-27.846,23.555,"geological carbonate"
"172","Likoaeng","GrA-23232",3355,45,"Final LSA",-29.736,28.763,"charcoal"
"173","Belleview","Pta-293",3280,60,"",-29.999,29.058,"charcoal"
"174","Nyonyane","TX-5632",3270,70,"",-27.3,31.9,"charcoal"
"175","Zaayfontein","SR-160",3270,115,"",-30.633,25.5,"charcoal"
"176","Jubilee Shelter","Wits-1449 ",3250,60,"Wilton",-25.683,27.983,"charcoal"
"177","Twyfelpoort","Pta-7245",3210,50,"",-28.633,27.567,"charcoal"
"178","KwaThwaleyakhe","Pta-5360",3200,60,"",-28.914,30.444,"charcoal"
"179","Hoffman's Robberg Cave","UW-204",3190,110,"Wilton",-34.105951,23.388,"marine shell"
"180","Nkupe Shelter","Pta-3269",3190,60,"Final LSA",-28.147,29.937,"charcoal"
"181","Blydefontein","SMU-1849",3135,33,"Wilton",-31.133,25.05,"charcoal"
"182","iNkolimahashi Shelter","Pta-7234",3130,100,"Final LSA",-28.794,30.181,"charcoal"
"183","Jagt Pan 1","Pta-4516",3120,140,"Wilton",-30.4,21.4,""
"184","Melikane","OxA-22838",3112,25,"",-29.95,28.75,"charcoal"
"185","Dikbosch 1","Pta-1065",3110,60,"Final LSA",-28.652,23.903,"charcoal"
"186","Likoaeng","GrA-23535",3110,50,"Final LSA",-29.736,28.763,"charcoal"
"187","Jubilee Shelter","Wits-1214 ",3100,150,"Wilton",-25.683,27.983,"charcoal"
"188","Blydefontein","SR-142",3090,100,"Wilton",-31.133,25.05,"charcoal"
"189","Wonderwerk","Pta-2139",3060,40,"",-27.846,23.555,"eggshell"
"190","Melikane","OxA-22966",3047,27,"",-29.95,28.75,"charcoal"
"191","Ravenscraig","Pta-3450",3040,50,"",-31,27.783,"bone"
"192","Diamond Shelter","Pta-2974",3020,60,"",-28.492,28.948,"charcoal"
"193","Twyfelpoort","Pta-7254",3020,60,"",-28.633,27.567,"charcoal"
"194","Bonawe","Pta-3499",2960,60,"",-31.317,27.817,"charcoal"
"195","Tshisiku Shelter","Pta-8654",2960,60,"",-22.233,29.148,""
"196","Ballito Bay","Pta-5803",2940,50,"",-29.52,31.229,"bone"
"197","Mzinyashana Shelter","Pta-6539",2930,20,"Final LSA",-28.317,30.467,""
"198","Wonderwerk","Pta-2729",2930,60,"",-27.846,23.555,"geological carbonate"
"199","Wonderwerk","Pta-2543",2910,60,"",-27.846,23.555,"charcoal"
"200","Main Caves North","OZD-447",2900,80,"",-29.313,29.567,"other"
"201","Likoaeng","GrA-26178",2875,35,"Final LSA",-29.736,28.763,"bone"
"202","Castle Quarry","GrN-5023",2860,35,"",-26.162,31.059,"charcoal"
"203","Likoaeng","GrA-23239",2860,45,"Final LSA",-29.736,28.763,"charcoal"
"204","Zoovoorbij","Pta-2871",2860,45,"Wilton",-28.65,20.967,"charcoal"
"205","Zoovoorbij","Pta-2888",2860,45,"Wilton",-28.65,20.967,"charcoal"
"206","De Hoop","Pta-6787",2850,60,"Final LSA",-29.236,27.438,"charcoal"
"207","Mzinyashana Shelter","Pta-6708",2840,60,"Final LSA",-28.317,30.467,""
"208","Umhlatuzana","Pta-4215",2840,60,"",-29.8,30.75,"charcoal"
"209","Bonawe","Pta-3497",2830,60,"",-31.317,27.817,"charcoal"
"210","Messum Shelter","KN-I-638",2830,55,"",-21.367,14.283,"charcoal"
"211","Diamond Shelter","Pta-2977",2810,60,"",-28.492,28.948,"charcoal"
"212","Likoaeng","GrA-23233",2810,45,"Final LSA",-29.736,28.763,"bone"
"213","Zoovoorbij","Pta-2870",2800,60,"Wilton",-28.65,20.967,"charcoal"
"214","Blydefontein","OxA-27365",2791,25,"Wilton",-31.133,25.05,"bone"
"215","Orange Springs","Wits-2002",2790,70,"Final LSA",-29.1,27.367,""
"216","Highmoor 1","OZD-451",2770,75,"",-29.33,29.603,"other"
"217","Main Caves North","OZD-448",2760,75,"",-29.313,29.567,"other"
"218","Mhlwazini Cave","Pta-4876",2760,50,"",-29.048,29.39,"charcoal"
"219","Jagt Pan 7","Pta-4193",2730,60,"Final LSA",-30.495,21.495,""
"220","Blydefontein","D-AMS-1231",2728,32,"Wilton",-31.133,25.05,"bone"
"221","Springbokoog 13","Pta-4664",2710,50,"Wilton",-30.217,21.533,"eggshell"
"222","Liphofung","Pta-6106",2700,60,"",-28.753,28.496,"bone"
"223","Likoaeng","Pta-7093",2650,60,"Final LSA",-29.736,28.763,"charcoal"
"224","Riversmead","GX-723",2645,95,"",-30.633,25.5,""
"225","KwaThwaleyakhe","Pta-5349",2640,60,"",-28.914,30.444,"charcoal"
"226","Likoaeng North","Pta-9067",2640,70,"",-29.736,28.763,"bone"
"227","Mzinyashana Shelter","Pta-6700",2630,60,"Final LSA",-28.317,30.467,""
"228","Springbokoog 5","Pta-4205",2630,50,"Wilton",-30.217,21.533,"eggshell"
"229","White Paintings Shelter","Beta-33681",2620,130,"Ceramic LSA",-18.75,21.75,"charcoal"
"230","Belleview","Pta-309",2610,50,"",-29.999,29.058,"charcoal"
"231","Mhlwazini Cave","Pta-5045",2570,60,"",-29.048,29.39,"charcoal"
"232","Likoaeng","GrA-23236",2555,45,"Final LSA",-29.736,28.763,"bone"
"233","Richards Bay","OxA-V-2064-55",2532,26,"",-28.82,32.065,"bone"
"234","Riversmead","GX-724",2530,105,"",-30.633,25.5,""
"235","iNkolimahashi Shelter","Pta-7232",2520,50,"Final LSA",-28.794,30.181,"charcoal"
"236","Springbokoog 13","Pta-4653",2520,60,"Wilton",-30.217,21.533,"eggshell"
"237","Nkupe Shelter","Pta-3443",2480,60,"Final LSA",-28.147,29.937,"charcoal"
"238","Strathalan A","Pta-4678",2470,45,"",-30.983,28.383,"charcoal"
"239","Jagt Pan 7","Pta-4309",2450,60,"Final LSA",-30.495,21.495,""
"240","Toteng 7","Beta-96238",2440,80,"",-20.38,22.95,"charcoal"
